"ID" "Student Name" "Student Email" "Branch Code" "Academic Batch" "CGPA" "Sign_In_Count"
"1" "msrkur.a." "msrkur.a.6017.csan@nighthack.in" "csan036" "2014" "8.19" "1"
"2" "ykaav" "ykaav7033.hrm@nighthack.in" "hrm048" "2016" "8.55" "0"
"3" "apalrmaaulv" "apalrmaaulv0002.dop@nighthack.in" "dop010" "2017" "4.57" "1"
"4" "aharigyt" "aharigyt2316.csae@nighthack.in" "csae002" "2015" "7.93" "0"
"5" "isanriavs" "isanriavs5086.me@nighthack.in" "me005" "2017" "6.36" "70"
"6" "inasthhnat" "inasthhnat0011.ceam@nighthack.in" "ceam040" "2017" "7.57" "0"
"7" "hasnge" "hasnge6009.moha@nighthack.in" "moha086" "2017" "6.74" "8"
"8" "mejrdahtaa" "mejrdahtaa3008.eaee@nighthack.in" "eaee003" "2015" "7.36" "31"
"9" "naashyatdr" "naashyatdr4010.ad@nighthack.in" "ad024" "2016" "8.23" "2"
"10" "haiskbhe" "haiskbhe7001.mm@nighthack.in" "mm046" "2016" "7.2" "0"
"11" "svnehgia" "svnehgia1002.bods@nighthack.in" "bods011" "2018" "8.79" "21"
"12" "hdniwan" "hdniwan4029.eace@nighthack.in" "eace004" "2018" "7.92" "78"
"13" "apavn" "apavn8005.amd@nighthack.in" "amd028" "2016" "9.64" "9"
"14" "aitshsh" "aitshsh5008.esde@nighthack.in" "esde215" "2016" "9.18" "0"
"15" "tauankjs" "tauankjs3009.ic@nighthack.in" "ic083" "2017" "7.29" "0"
"16" "aalgwar" "aalgwar2013.csae@nighthack.in" "csae002" "2018" "7.43" "3"
"17" "asakkhn" "asakkhn4009.eace@nighthack.in" "eace004" "2018" "8.23" "14"
"18" "itrho" "itrho6009.aaf@nighthack.in" "aaf016" "2018" "4.55" "38"
"19" "nnsaehaw" "nnsaehaw9005.bop@nighthack.in" "bop009" "2018" "9.02" "3"
